"Sample","Time","Decoder","Ann Row","Ann Class","Value",
"24537","1.227 s","Timing","Times","Time","2.550 ms (392.157 Hz)",
"24588","1.229 s","Timing","Times","Time","2.550 ms (392.157 Hz)",
"24639","1.232 s","Timing","Times","Time","1.200 ms (833.333 Hz)",
"24663","1.233 s","Timing","Times","Time","2.900 ms (344.828 Hz)",
"24721","1.236 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"24744","1.237 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"24767","1.238 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"24790","1.240 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"24813","1.241 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"24836","1.242 s","Timing","Times","Time","2.900 ms (344.828 Hz)",
"24894","1.245 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"24917","1.246 s","Timing","Times","Time","2.900 ms (344.828 Hz)",
"24975","1.249 s","Timing","Times","Time","1.100 ms (909.091 Hz)",
"24997","1.250 s","Timing","Times","Time","1.200 ms (833.333 Hz)",
"25021","1.251 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"25044","1.252 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"25067","1.253 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"25090","1.254 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"25113","1.256 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"25136","1.257 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"25159","1.258 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"25182","1.259 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"25205","1.260 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"25228","1.261 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"25251","1.263 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"25274","1.264 s","Timing","Times","Time","2.900 ms (344.828 Hz)",
"25332","1.267 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"25355","1.268 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"25378","1.269 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"25401","1.270 s","Timing","Times","Time","2.900 ms (344.828 Hz)",
"25459","1.273 s","Timing","Times","Time","1.100 ms (909.091 Hz)",
"25481","1.274 s","Timing","Times","Time","2.900 ms (344.828 Hz)",
"25539","1.277 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"25562","1.278 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"25585","1.279 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"25608","1.280 s","Timing","Times","Time","57.350 ms (17.437 Hz)",
"26755","1.338 s","Timing","Times","Time","2.550 ms (392.157 Hz)",
"26806","1.340 s","Timing","Times","Time","2.600 ms (384.615 Hz)",
"26858","1.343 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"26881","1.344 s","Timing","Times","Time","2.900 ms (344.828 Hz)",
"26939","1.347 s","Timing","Times","Time","1.100 ms (909.091 Hz)",
"26961","1.348 s","Timing","Times","Time","1.200 ms (833.333 Hz)",
"26985","1.349 s","Timing","Times","Time","1.100 ms (909.091 Hz)",
"27007","1.350 s","Timing","Times","Time","1.200 ms (833.333 Hz)",
"27031","1.352 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"27054","1.353 s","Timing","Times","Time","2.850 ms (350.877 Hz)",
"27111","1.356 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"27134","1.357 s","Timing","Times","Time","2.900 ms (344.828 Hz)",
"27192","1.360 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"27215","1.361 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"27238","1.362 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"27261","1.363 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"27284","1.364 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"27307","1.365 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"27330","1.367 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"27353","1.368 s","Timing","Times","Time","1.200 ms (833.333 Hz)",
"27377","1.369 s","Timing","Times","Time","1.100 ms (909.091 Hz)",
"27399","1.370 s","Timing","Times","Time","1.200 ms (833.333 Hz)",
"27423","1.371 s","Timing","Times","Time","1.100 ms (909.091 Hz)",
"27445","1.372 s","Timing","Times","Time","1.200 ms (833.333 Hz)",
"27469","1.373 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"27492","1.375 s","Timing","Times","Time","2.850 ms (350.877 Hz)",
"27549","1.377 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"27572","1.379 s","Timing","Times","Time","1.200 ms (833.333 Hz)",
"27596","1.380 s","Timing","Times","Time","1.100 ms (909.091 Hz)",
"27618","1.381 s","Timing","Times","Time","2.900 ms (344.828 Hz)",
"27676","1.384 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"27699","1.385 s","Timing","Times","Time","2.900 ms (344.828 Hz)",
"27757","1.388 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"27780","1.389 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"27803","1.390 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"27826","1.391 s","Timing","Times","Time","57.300 ms (17.452 Hz)",
"28972","1.449 s","Timing","Times","Time","2.550 ms (392.157 Hz)",
"29023","1.451 s","Timing","Times","Time","2.600 ms (384.615 Hz)",
"29075","1.454 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"29098","1.455 s","Timing","Times","Time","2.900 ms (344.828 Hz)",
"29156","1.458 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"29179","1.459 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"29202","1.460 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"29225","1.461 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"29248","1.462 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"29271","1.464 s","Timing","Times","Time","2.900 ms (344.828 Hz)",
"29329","1.466 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"29352","1.468 s","Timing","Times","Time","2.900 ms (344.828 Hz)",
"29410","1.470 s","Timing","Times","Time","1.100 ms (909.091 Hz)",
"29432","1.472 s","Timing","Times","Time","1.200 ms (833.333 Hz)",
"29456","1.473 s","Timing","Times","Time","1.100 ms (909.091 Hz)",
"29478","1.474 s","Timing","Times","Time","1.200 ms (833.333 Hz)",
"29502","1.475 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"29525","1.476 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"29548","1.477 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"29571","1.479 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"29594","1.480 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"29617","1.481 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"29640","1.482 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"29663","1.483 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"29686","1.484 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"29709","1.485 s","Timing","Times","Time","2.900 ms (344.828 Hz)",
"29767","1.488 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"29790","1.490 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"29813","1.491 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"29836","1.492 s","Timing","Times","Time","2.900 ms (344.828 Hz)",
"29894","1.495 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"29917","1.496 s","Timing","Times","Time","2.850 ms (350.877 Hz)",
"29974","1.499 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"29997","1.500 s","Timing","Times","Time","1.200 ms (833.333 Hz)",
"30021","1.501 s","Timing","Times","Time","1.100 ms (909.091 Hz)",
"30043","1.502 s","Timing","Times","Time","57.350 ms (17.437 Hz)",
"31190","1.560 s","Timing","Times","Time","2.550 ms (392.157 Hz)",
"31241","1.562 s","Timing","Times","Time","2.600 ms (384.615 Hz)",
"31293","1.565 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"31316","1.566 s","Timing","Times","Time","2.900 ms (344.828 Hz)",
"31374","1.569 s","Timing","Times","Time","1.100 ms (909.091 Hz)",
"31396","1.570 s","Timing","Times","Time","1.200 ms (833.333 Hz)",
"31420","1.571 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"31443","1.572 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"31466","1.573 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"31489","1.574 s","Timing","Times","Time","2.850 ms (350.877 Hz)",
"31546","1.577 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"31569","1.578 s","Timing","Times","Time","2.900 ms (344.828 Hz)",
"31627","1.581 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"31650","1.583 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"31673","1.584 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"31696","1.585 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"31719","1.586 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"31742","1.587 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
