Sample,Time,Decoder,Ann Row,Ann Class,Value,
128,2.560 ms,Timing,Times,Terse,3ms,
258,5.160 ms,Timing,Times,Terse,1ms,
314,6.280 ms,Timing,Times,Terse,3ms,
460,9.200 ms,Timing,Times,Terse,1ms,
517,10.340 ms,Timing,Times,Terse,1ms,
575,11.500 ms,Timing,Times,Terse,1ms,
632,12.640 ms,Timing,Times,Terse,1ms,
691,13.820 ms,Timing,Times,Terse,1ms,
748,14.960 ms,Timing,Times,Terse,3ms,
892,17.840 ms,Timing,Times,Terse,1ms,
949,18.980 ms,Timing,Times,Terse,3ms,
1094,21.880 ms,Timing,Times,Terse,1ms,
1151,23.020 ms,Timing,Times,Terse,1ms,
1209,24.180 ms,Timing,Times,Terse,1ms,
1266,25.320 ms,Timing,Times,Terse,1ms,
1324,26.480 ms,Timing,Times,Terse,1ms,
1381,27.620 ms,Timing,Times,Terse,1ms,
1440,28.800 ms,Timing,Times,Terse,1ms,
1497,29.940 ms,Timing,Times,Terse,1ms,
1555,31.100 ms,Timing,Times,Terse,1ms,
1612,32.240 ms,Timing,Times,Terse,1ms,
1670,33.400 ms,Timing,Times,Terse,1ms,
1727,34.540 ms,Timing,Times,Terse,1ms,
1785,35.700 ms,Timing,Times,Terse,1ms,
1842,36.840 ms,Timing,Times,Terse,3ms,
1987,39.740 ms,Timing,Times,Terse,1ms,
2044,40.880 ms,Timing,Times,Terse,1ms,
2102,42.040 ms,Timing,Times,Terse,1ms,
2159,43.180 ms,Timing,Times,Terse,3ms,
2304,46.080 ms,Timing,Times,Terse,1ms,
2361,47.220 ms,Timing,Times,Terse,3ms,
2506,50.120 ms,Timing,Times,Terse,1ms,
2563,51.260 ms,Timing,Times,Terse,1ms,
2621,52.420 ms,Timing,Times,Terse,1ms,
2678,53.560 ms,Timing,Times,Terse,57ms,
5543,110.860 ms,Timing,Times,Terse,3ms,
5671,113.420 ms,Timing,Times,Terse,3ms,
5801,116.020 ms,Timing,Times,Terse,1ms,
5858,117.160 ms,Timing,Times,Terse,3ms,
6003,120.060 ms,Timing,Times,Terse,1ms,
6060,121.200 ms,Timing,Times,Terse,1ms,
6118,122.360 ms,Timing,Times,Terse,1ms,
6175,123.500 ms,Timing,Times,Terse,1ms,
6233,124.660 ms,Timing,Times,Terse,1ms,
6290,125.800 ms,Timing,Times,Terse,3ms,
