Sample,Time,Decoder,Ann Row,Ann Class,Value,
45834,2.292 s,Timing,Times,Time,14.950 ms (66.890 Hz),
46133,2.307 s,Timing,Times,Time,2.500 ms (400.000 Hz),
46183,2.309 s,Timing,Times,Time,2.300 ms (434.783 Hz),
46229,2.311 s,Timing,Times,Time,7.700 ms (129.870 Hz),
46383,2.319 s,Timing,Times,Time,650.000 탎 (1.538 kHz),
46396,2.320 s,Timing,Times,Time,2.550 ms (392.157 Hz),
46447,2.322 s,Timing,Times,Time,1.650 ms (606.061 Hz),
46480,2.324 s,Timing,Times,Time,2.700 ms (370.370 Hz),
46534,2.327 s,Timing,Times,Time,2.600 ms (384.615 Hz),
46586,2.329 s,Timing,Times,Time,3.250 ms (307.692 Hz),
46651,2.333 s,Timing,Times,Time,2.100 ms (476.190 Hz),
46693,2.335 s,Timing,Times,Time,1.400 ms (714.286 Hz),
46721,2.336 s,Timing,Times,Time,2.750 ms (363.636 Hz),
46776,2.339 s,Timing,Times,Time,950.000 탎 (1.053 kHz),
46795,2.340 s,Timing,Times,Time,1.250 ms (800.000 Hz),
46820,2.341 s,Timing,Times,Time,5.000 ms (200.000 Hz),
46920,2.346 s,Timing,Times,Time,2.600 ms (384.615 Hz),
46972,2.349 s,Timing,Times,Time,2.550 ms (392.157 Hz),
47023,2.351 s,Timing,Times,Time,2.750 ms (363.636 Hz),
47078,2.354 s,Timing,Times,Time,4.550 ms (219.780 Hz),
47169,2.358 s,Timing,Times,Time,800.000 탎 (1.250 kHz),
47185,2.359 s,Timing,Times,Time,2.900 ms (344.828 Hz),
47243,2.362 s,Timing,Times,Time,2.400 ms (416.667 Hz),
47291,2.365 s,Timing,Times,Time,1.800 ms (555.556 Hz),
47327,2.366 s,Timing,Times,Time,2.400 ms (416.667 Hz),
47375,2.369 s,Timing,Times,Time,2.950 ms (338.983 Hz),
47434,2.372 s,Timing,Times,Time,1.250 ms (800.000 Hz),
47459,2.373 s,Timing,Times,Time,2.400 ms (416.667 Hz),
47507,2.375 s,Timing,Times,Time,2.900 ms (344.828 Hz),
47565,2.378 s,Timing,Times,Time,3.900 ms (256.410 Hz),
47643,2.382 s,Timing,Times,Time,1.450 ms (689.655 Hz),
47672,2.384 s,Timing,Times,Time,3.100 ms (322.581 Hz),
47734,2.387 s,Timing,Times,Time,1.100 ms (909.091 Hz),
47756,2.388 s,Timing,Times,Time,4.200 ms (238.095 Hz),
47840,2.392 s,Timing,Times,Time,1.100 ms (909.091 Hz),
47862,2.393 s,Timing,Times,Time,8.600 ms (116.279 Hz),
48034,2.402 s,Timing,Times,Time,900.000 탎 (1.111 kHz),
48052,2.403 s,Timing,Times,Time,8.850 ms (112.994 Hz),
48229,2.411 s,Timing,Times,Time,1.450 ms (689.655 Hz),
48258,2.413 s,Timing,Times,Time,2.200 ms (454.545 Hz),
48302,2.415 s,Timing,Times,Time,1.950 ms (512.821 Hz),
48341,2.417 s,Timing,Times,Time,2.400 ms (416.667 Hz),
48389,2.419 s,Timing,Times,Time,1.800 ms (555.556 Hz),
48425,2.421 s,Timing,Times,Time,2.900 ms (344.828 Hz),
48483,2.424 s,Timing,Times,Time,1.250 ms (800.000 Hz),
48508,2.425 s,Timing,Times,Time,2.700 ms (370.370 Hz),
48562,2.428 s,Timing,Times,Time,1.450 ms (689.655 Hz),
48591,2.430 s,Timing,Times,Time,2.900 ms (344.828 Hz),
48649,2.432 s,Timing,Times,Time,2.500 ms (400.000 Hz),
48699,2.435 s,Timing,Times,Time,7.500 ms (133.333 Hz),
48849,2.442 s,Timing,Times,Time,1.950 ms (512.821 Hz),
48888,2.444 s,Timing,Times,Time,1.750 ms (571.429 Hz),
48923,2.446 s,Timing,Times,Time,2.450 ms (408.163 Hz),
48972,2.449 s,Timing,Times,Time,2.900 ms (344.828 Hz),
49030,2.451 s,Timing,Times,Time,2.400 ms (416.667 Hz),
49078,2.454 s,Timing,Times,Time,2.700 ms (370.370 Hz),
49132,2.457 s,Timing,Times,Time,2.650 ms (377.358 Hz),
49185,2.459 s,Timing,Times,Time,5.200 ms (192.308 Hz),
49289,2.464 s,Timing,Times,Time,100.000 탎 (10.000 kHz),
49291,2.465 s,Timing,Times,Time,18.800 ms (53.191 Hz),
49667,2.483 s,Timing,Times,Time,15.750 ms (63.492 Hz),
49982,2.499 s,Timing,Times,Time,11.900 ms (84.034 Hz),
50220,2.511 s,Timing,Times,Time,1.300 ms (769.231 Hz),
50246,2.512 s,Timing,Times,Time,1.850 ms (540.541 Hz),
50283,2.514 s,Timing,Times,Time,2.300 ms (434.783 Hz),
50329,2.516 s,Timing,Times,Time,2.550 ms (392.157 Hz),
50380,2.519 s,Timing,Times,Time,2.800 ms (357.143 Hz),
50436,2.522 s,Timing,Times,Time,2.850 ms (350.877 Hz),
50493,2.525 s,Timing,Times,Time,2.400 ms (416.667 Hz),
