Sample,Time,Decoder,Ann Row,Ann Class,Value,
48273,2.414 s,Timing,Times,Time,2.600 ms (384.615 Hz),
48325,2.416 s,Timing,Times,Time,2.550 ms (392.157 Hz),
48376,2.419 s,Timing,Times,Time,1.250 ms (800.000 Hz),
48401,2.420 s,Timing,Times,Time,2.850 ms (350.877 Hz),
48458,2.423 s,Timing,Times,Time,1.200 ms (833.333 Hz),
48482,2.424 s,Timing,Times,Time,1.100 ms (909.091 Hz),
48504,2.425 s,Timing,Times,Time,1.200 ms (833.333 Hz),
48528,2.426 s,Timing,Times,Time,1.150 ms (869.565 Hz),
48551,2.428 s,Timing,Times,Time,1.200 ms (833.333 Hz),
48575,2.429 s,Timing,Times,Time,2.850 ms (350.877 Hz),
48632,2.432 s,Timing,Times,Time,1.200 ms (833.333 Hz),
48656,2.433 s,Timing,Times,Time,2.900 ms (344.828 Hz),
48714,2.436 s,Timing,Times,Time,1.250 ms (800.000 Hz),
48739,2.437 s,Timing,Times,Time,1.050 ms (952.381 Hz),
48760,2.438 s,Timing,Times,Time,1.250 ms (800.000 Hz),
48785,2.439 s,Timing,Times,Time,1.050 ms (952.381 Hz),
48806,2.440 s,Timing,Times,Time,1.200 ms (833.333 Hz),
48830,2.442 s,Timing,Times,Time,1.150 ms (869.565 Hz),
48853,2.443 s,Timing,Times,Time,1.200 ms (833.333 Hz),
48877,2.444 s,Timing,Times,Time,1.100 ms (909.091 Hz),
48899,2.445 s,Timing,Times,Time,1.200 ms (833.333 Hz),
48923,2.446 s,Timing,Times,Time,1.100 ms (909.091 Hz),
48945,2.447 s,Timing,Times,Time,1.200 ms (833.333 Hz),
48969,2.448 s,Timing,Times,Time,1.100 ms (909.091 Hz),
48991,2.450 s,Timing,Times,Time,1.250 ms (800.000 Hz),
49016,2.451 s,Timing,Times,Time,2.850 ms (350.877 Hz),
49073,2.454 s,Timing,Times,Time,1.200 ms (833.333 Hz),
49097,2.455 s,Timing,Times,Time,2.900 ms (344.828 Hz),
49155,2.458 s,Timing,Times,Time,1.200 ms (833.333 Hz),
49179,2.459 s,Timing,Times,Time,2.850 ms (350.877 Hz),
49236,2.462 s,Timing,Times,Time,1.250 ms (800.000 Hz),
49261,2.463 s,Timing,Times,Time,1.100 ms (909.091 Hz),
49283,2.464 s,Timing,Times,Time,1.200 ms (833.333 Hz),
49307,2.465 s,Timing,Times,Time,1.100 ms (909.091 Hz),
49329,2.466 s,Timing,Times,Time,1.200 ms (833.333 Hz),
49353,2.468 s,Timing,Times,Time,57.450 ms (17.406 Hz),
50502,2.525 s,Timing,Times,Time,2.600 ms (384.615 Hz),
50554,2.528 s,Timing,Times,Time,2.500 ms (400.000 Hz),
50604,2.530 s,Timing,Times,Time,1.300 ms (769.231 Hz),
50630,2.531 s,Timing,Times,Time,2.850 ms (350.877 Hz),
50687,2.534 s,Timing,Times,Time,1.200 ms (833.333 Hz),
50711,2.536 s,Timing,Times,Time,1.100 ms (909.091 Hz),
50733,2.537 s,Timing,Times,Time,1.200 ms (833.333 Hz),
50757,2.538 s,Timing,Times,Time,1.100 ms (909.091 Hz),
50779,2.539 s,Timing,Times,Time,1.200 ms (833.333 Hz),
50803,2.540 s,Timing,Times,Time,2.850 ms (350.877 Hz),
50860,2.543 s,Timing,Times,Time,1.250 ms (800.000 Hz),
50885,2.544 s,Timing,Times,Time,2.850 ms (350.877 Hz),
50942,2.547 s,Timing,Times,Time,1.250 ms (800.000 Hz),
50967,2.548 s,Timing,Times,Time,1.100 ms (909.091 Hz),
50989,2.549 s,Timing,Times,Time,1.200 ms (833.333 Hz),
51013,2.551 s,Timing,Times,Time,1.050 ms (952.381 Hz),
51034,2.552 s,Timing,Times,Time,1.250 ms (800.000 Hz),
51059,2.553 s,Timing,Times,Time,1.100 ms (909.091 Hz),
51081,2.554 s,Timing,Times,Time,1.200 ms (833.333 Hz),
51105,2.555 s,Timing,Times,Time,1.100 ms (909.091 Hz),
51127,2.556 s,Timing,Times,Time,1.200 ms (833.333 Hz),
51151,2.558 s,Timing,Times,Time,1.100 ms (909.091 Hz),
51173,2.559 s,Timing,Times,Time,1.200 ms (833.333 Hz),
51197,2.560 s,Timing,Times,Time,1.150 ms (869.565 Hz),
51220,2.561 s,Timing,Times,Time,1.200 ms (833.333 Hz),
51244,2.562 s,Timing,Times,Time,2.850 ms (350.877 Hz),
51301,2.565 s,Timing,Times,Time,1.200 ms (833.333 Hz),
51325,2.566 s,Timing,Times,Time,2.900 ms (344.828 Hz),
51383,2.569 s,Timing,Times,Time,1.250 ms (800.000 Hz),
51408,2.570 s,Timing,Times,Time,2.850 ms (350.877 Hz),
51465,2.573 s,Timing,Times,Time,1.200 ms (833.333 Hz),
51489,2.574 s,Timing,Times,Time,1.100 ms (909.091 Hz),
51511,2.576 s,Timing,Times,Time,1.250 ms (800.000 Hz),
51536,2.577 s,Timing,Times,Time,1.050 ms (952.381 Hz),
51557,2.578 s,Timing,Times,Time,1.200 ms (833.333 Hz),
51581,2.579 s,Timing,Times,Time,57.450 ms (17.406 Hz),
52730,2.636 s,Timing,Times,Time,2.600 ms (384.615 Hz),
52782,2.639 s,Timing,Times,Time,2.550 ms (392.157 Hz),
52833,2.642 s,Timing,Times,Time,1.200 ms (833.333 Hz),
52857,2.643 s,Timing,Times,Time,2.850 ms (350.877 Hz),
52914,2.646 s,Timing,Times,Time,1.250 ms (800.000 Hz),
52939,2.647 s,Timing,Times,Time,1.050 ms (952.381 Hz),
52960,2.648 s,Timing,Times,Time,1.250 ms (800.000 Hz),
52985,2.649 s,Timing,Times,Time,1.100 ms (909.091 Hz),
53007,2.650 s,Timing,Times,Time,1.200 ms (833.333 Hz),
53031,2.652 s,Timing,Times,Time,2.850 ms (350.877 Hz),
53088,2.654 s,Timing,Times,Time,1.250 ms (800.000 Hz),
53113,2.656 s,Timing,Times,Time,2.850 ms (350.877 Hz),
53170,2.659 s,Timing,Times,Time,1.250 ms (800.000 Hz),
53195,2.660 s,Timing,Times,Time,1.050 ms (952.381 Hz),
53216,2.661 s,Timing,Times,Time,1.200 ms (833.333 Hz),
53240,2.662 s,Timing,Times,Time,1.150 ms (869.565 Hz),
53263,2.663 s,Timing,Times,Time,1.200 ms (833.333 Hz),
53287,2.664 s,Timing,Times,Time,1.100 ms (909.091 Hz),
53309,2.665 s,Timing,Times,Time,1.200 ms (833.333 Hz),
53333,2.667 s,Timing,Times,Time,1.100 ms (909.091 Hz),
53355,2.668 s,Timing,Times,Time,1.250 ms (800.000 Hz),
53380,2.669 s,Timing,Times,Time,1.050 ms (952.381 Hz),
53401,2.670 s,Timing,Times,Time,1.250 ms (800.000 Hz),
53426,2.671 s,Timing,Times,Time,1.050 ms (952.381 Hz),
53447,2.672 s,Timing,Times,Time,1.250 ms (800.000 Hz),
53472,2.674 s,Timing,Times,Time,2.850 ms (350.877 Hz),
53529,2.676 s,Timing,Times,Time,1.250 ms (800.000 Hz),
53554,2.678 s,Timing,Times,Time,2.850 ms (350.877 Hz),
