Sample,Time,Decoder,Ann Row,Ann Class,Value,
29749,1.487 s,Timing,Times,Time,2.650 ms (377.358 Hz),
29802,1.490 s,Timing,Times,Time,2.800 ms (357.143 Hz),
29858,1.493 s,Timing,Times,Time,1.250 ms (800.000 Hz),
29883,1.494 s,Timing,Times,Time,3.100 ms (322.581 Hz),
29945,1.497 s,Timing,Times,Time,1.250 ms (800.000 Hz),
29970,1.498 s,Timing,Times,Time,1.300 ms (769.231 Hz),
29996,1.500 s,Timing,Times,Time,1.300 ms (769.231 Hz),
30022,1.501 s,Timing,Times,Time,1.350 ms (740.741 Hz),
30049,1.502 s,Timing,Times,Time,1.250 ms (800.000 Hz),
30074,1.504 s,Timing,Times,Time,3.100 ms (322.581 Hz),
30136,1.507 s,Timing,Times,Time,1.250 ms (800.000 Hz),
30161,1.508 s,Timing,Times,Time,3.050 ms (327.869 Hz),
30222,1.511 s,Timing,Times,Time,1.300 ms (769.231 Hz),
30248,1.512 s,Timing,Times,Time,1.350 ms (740.741 Hz),
30275,1.514 s,Timing,Times,Time,1.200 ms (833.333 Hz),
30299,1.515 s,Timing,Times,Time,1.350 ms (740.741 Hz),
30326,1.516 s,Timing,Times,Time,1.300 ms (769.231 Hz),
30352,1.518 s,Timing,Times,Time,1.300 ms (769.231 Hz),
30378,1.519 s,Timing,Times,Time,1.250 ms (800.000 Hz),
30403,1.520 s,Timing,Times,Time,1.350 ms (740.741 Hz),
30430,1.522 s,Timing,Times,Time,1.200 ms (833.333 Hz),
30454,1.523 s,Timing,Times,Time,1.350 ms (740.741 Hz),
30481,1.524 s,Timing,Times,Time,1.300 ms (769.231 Hz),
30507,1.525 s,Timing,Times,Time,1.350 ms (740.741 Hz),
30534,1.527 s,Timing,Times,Time,1.250 ms (800.000 Hz),
30559,1.528 s,Timing,Times,Time,3.100 ms (322.581 Hz),
30621,1.531 s,Timing,Times,Time,1.250 ms (800.000 Hz),
30646,1.532 s,Timing,Times,Time,3.100 ms (322.581 Hz),
30708,1.535 s,Timing,Times,Time,1.300 ms (769.231 Hz),
30734,1.537 s,Timing,Times,Time,3.000 ms (333.333 Hz),
30794,1.540 s,Timing,Times,Time,1.350 ms (740.741 Hz),
30821,1.541 s,Timing,Times,Time,1.300 ms (769.231 Hz),
30847,1.542 s,Timing,Times,Time,1.300 ms (769.231 Hz),
30873,1.544 s,Timing,Times,Time,1.250 ms (800.000 Hz),
30898,1.545 s,Timing,Times,Time,1.300 ms (769.231 Hz),
30924,1.546 s,Timing,Times,Time,57.600 ms (17.361 Hz),
32076,1.604 s,Timing,Times,Time,2.650 ms (377.358 Hz),
32129,1.606 s,Timing,Times,Time,2.700 ms (370.370 Hz),
32183,1.609 s,Timing,Times,Time,1.250 ms (800.000 Hz),
32208,1.610 s,Timing,Times,Time,3.100 ms (322.581 Hz),
32270,1.613 s,Timing,Times,Time,1.250 ms (800.000 Hz),
32295,1.615 s,Timing,Times,Time,1.350 ms (740.741 Hz),
32322,1.616 s,Timing,Times,Time,1.250 ms (800.000 Hz),
32347,1.617 s,Timing,Times,Time,1.350 ms (740.741 Hz),
32374,1.619 s,Timing,Times,Time,1.250 ms (800.000 Hz),
32399,1.620 s,Timing,Times,Time,3.100 ms (322.581 Hz),
32461,1.623 s,Timing,Times,Time,1.250 ms (800.000 Hz),
32486,1.624 s,Timing,Times,Time,3.100 ms (322.581 Hz),
32548,1.627 s,Timing,Times,Time,1.350 ms (740.741 Hz),
32575,1.629 s,Timing,Times,Time,1.200 ms (833.333 Hz),
32599,1.630 s,Timing,Times,Time,1.350 ms (740.741 Hz),
32626,1.631 s,Timing,Times,Time,1.300 ms (769.231 Hz),
32652,1.633 s,Timing,Times,Time,1.250 ms (800.000 Hz),
32677,1.634 s,Timing,Times,Time,1.300 ms (769.231 Hz),
32703,1.635 s,Timing,Times,Time,1.300 ms (769.231 Hz),
32729,1.636 s,Timing,Times,Time,1.300 ms (769.231 Hz),
32755,1.638 s,Timing,Times,Time,1.350 ms (740.741 Hz),
32782,1.639 s,Timing,Times,Time,1.200 ms (833.333 Hz),
32806,1.640 s,Timing,Times,Time,1.300 ms (769.231 Hz),
32832,1.642 s,Timing,Times,Time,1.350 ms (740.741 Hz),
32859,1.643 s,Timing,Times,Time,1.250 ms (800.000 Hz),
32884,1.644 s,Timing,Times,Time,3.100 ms (322.581 Hz),
32946,1.647 s,Timing,Times,Time,1.350 ms (740.741 Hz),
32973,1.649 s,Timing,Times,Time,2.950 ms (338.983 Hz),
33032,1.652 s,Timing,Times,Time,1.300 ms (769.231 Hz),
33058,1.653 s,Timing,Times,Time,3.100 ms (322.581 Hz),
33120,1.656 s,Timing,Times,Time,1.350 ms (740.741 Hz),
33147,1.657 s,Timing,Times,Time,1.200 ms (833.333 Hz),
33171,1.659 s,Timing,Times,Time,1.400 ms (714.286 Hz),
33199,1.660 s,Timing,Times,Time,1.200 ms (833.333 Hz),
33223,1.661 s,Timing,Times,Time,1.300 ms (769.231 Hz),
33249,1.662 s,Timing,Times,Time,57.550 ms (17.376 Hz),
34400,1.720 s,Timing,Times,Time,2.650 ms (377.358 Hz),
34453,1.723 s,Timing,Times,Time,2.750 ms (363.636 Hz),
34508,1.725 s,Timing,Times,Time,1.250 ms (800.000 Hz),
34533,1.727 s,Timing,Times,Time,3.100 ms (322.581 Hz),
34595,1.730 s,Timing,Times,Time,1.350 ms (740.741 Hz),
34622,1.731 s,Timing,Times,Time,1.200 ms (833.333 Hz),
34646,1.732 s,Timing,Times,Time,1.300 ms (769.231 Hz),
34672,1.734 s,Timing,Times,Time,1.350 ms (740.741 Hz),
34699,1.735 s,Timing,Times,Time,1.250 ms (800.000 Hz),
34724,1.736 s,Timing,Times,Time,3.100 ms (322.581 Hz),
34786,1.739 s,Timing,Times,Time,1.250 ms (800.000 Hz),
34811,1.741 s,Timing,Times,Time,3.100 ms (322.581 Hz),
34873,1.744 s,Timing,Times,Time,1.350 ms (740.741 Hz),
34900,1.745 s,Timing,Times,Time,1.200 ms (833.333 Hz),
34924,1.746 s,Timing,Times,Time,1.300 ms (769.231 Hz),
34950,1.748 s,Timing,Times,Time,1.300 ms (769.231 Hz),
34976,1.749 s,Timing,Times,Time,1.250 ms (800.000 Hz),
35001,1.750 s,Timing,Times,Time,1.350 ms (740.741 Hz),
35028,1.751 s,Timing,Times,Time,1.350 ms (740.741 Hz),
35055,1.753 s,Timing,Times,Time,1.200 ms (833.333 Hz),
35079,1.754 s,Timing,Times,Time,1.300 ms (769.231 Hz),
35105,1.755 s,Timing,Times,Time,1.300 ms (769.231 Hz),
35131,1.757 s,Timing,Times,Time,1.300 ms (769.231 Hz),
35157,1.758 s,Timing,Times,Time,1.300 ms (769.231 Hz),
35183,1.759 s,Timing,Times,Time,1.300 ms (769.231 Hz),
35209,1.760 s,Timing,Times,Time,3.100 ms (322.581 Hz),
35271,1.764 s,Timing,Times,Time,1.250 ms (800.000 Hz),
35296,1.765 s,Timing,Times,Time,3.100 ms (322.581 Hz),
35358,1.768 s,Timing,Times,Time,1.300 ms (769.231 Hz),
35384,1.769 s,Timing,Times,Time,3.000 ms (333.333 Hz),
35444,1.772 s,Timing,Times,Time,1.300 ms (769.231 Hz),
35470,1.774 s,Timing,Times,Time,1.350 ms (740.741 Hz),
35497,1.775 s,Timing,Times,Time,1.250 ms (800.000 Hz),
35522,1.776 s,Timing,Times,Time,1.300 ms (769.231 Hz),
