Sample,Time,Decoder,Ann Row,Ann Class,Value,
39819,1.991 s,Timing,Times,Time,2.650 ms (377.358 Hz),
39872,1.994 s,Timing,Times,Time,2.600 ms (384.615 Hz),
39924,1.996 s,Timing,Times,Time,1.300 ms (769.231 Hz),
39950,1.998 s,Timing,Times,Time,2.950 ms (338.983 Hz),
40009,2.000 s,Timing,Times,Time,1.250 ms (800.000 Hz),
40034,2.002 s,Timing,Times,Time,1.150 ms (869.565 Hz),
40057,2.003 s,Timing,Times,Time,1.300 ms (769.231 Hz),
40083,2.004 s,Timing,Times,Time,1.150 ms (869.565 Hz),
40106,2.005 s,Timing,Times,Time,1.300 ms (769.231 Hz),
40132,2.007 s,Timing,Times,Time,2.950 ms (338.983 Hz),
40191,2.010 s,Timing,Times,Time,1.300 ms (769.231 Hz),
40217,2.011 s,Timing,Times,Time,2.900 ms (344.828 Hz),
40275,2.014 s,Timing,Times,Time,1.300 ms (769.231 Hz),
40301,2.015 s,Timing,Times,Time,1.150 ms (869.565 Hz),
40324,2.016 s,Timing,Times,Time,1.250 ms (800.000 Hz),
40349,2.017 s,Timing,Times,Time,1.200 ms (833.333 Hz),
40373,2.019 s,Timing,Times,Time,1.250 ms (800.000 Hz),
40398,2.020 s,Timing,Times,Time,1.200 ms (833.333 Hz),
40422,2.021 s,Timing,Times,Time,1.250 ms (800.000 Hz),
40447,2.022 s,Timing,Times,Time,1.150 ms (869.565 Hz),
40470,2.023 s,Timing,Times,Time,1.300 ms (769.231 Hz),
40496,2.025 s,Timing,Times,Time,1.150 ms (869.565 Hz),
40519,2.026 s,Timing,Times,Time,1.300 ms (769.231 Hz),
40545,2.027 s,Timing,Times,Time,1.150 ms (869.565 Hz),
40568,2.028 s,Timing,Times,Time,1.300 ms (769.231 Hz),
40594,2.030 s,Timing,Times,Time,2.900 ms (344.828 Hz),
40652,2.033 s,Timing,Times,Time,1.300 ms (769.231 Hz),
40678,2.034 s,Timing,Times,Time,1.150 ms (869.565 Hz),
40701,2.035 s,Timing,Times,Time,1.300 ms (769.231 Hz),
40727,2.036 s,Timing,Times,Time,4.700 ms (212.766 Hz),
40821,2.041 s,Timing,Times,Time,1.350 ms (740.741 Hz),
40848,2.042 s,Timing,Times,Time,1.100 ms (909.091 Hz),
40870,2.043 s,Timing,Times,Time,1.300 ms (769.231 Hz),
40896,2.045 s,Timing,Times,Time,2.950 ms (338.983 Hz),
40955,2.048 s,Timing,Times,Time,1.250 ms (800.000 Hz),
40980,2.049 s,Timing,Times,Time,4.150 ms (240.964 Hz),
41063,2.053 s,Timing,Times,Time,2.650 ms (377.358 Hz),
41116,2.056 s,Timing,Times,Time,2.550 ms (392.157 Hz),
41167,2.058 s,Timing,Times,Time,1.350 ms (740.741 Hz),
41194,2.060 s,Timing,Times,Time,2.900 ms (344.828 Hz),
41252,2.063 s,Timing,Times,Time,1.300 ms (769.231 Hz),
41278,2.064 s,Timing,Times,Time,1.150 ms (869.565 Hz),
41301,2.065 s,Timing,Times,Time,1.300 ms (769.231 Hz),
41327,2.066 s,Timing,Times,Time,1.100 ms (909.091 Hz),
41349,2.067 s,Timing,Times,Time,1.350 ms (740.741 Hz),
41376,2.069 s,Timing,Times,Time,2.850 ms (350.877 Hz),
